,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
3781,0,1,2010,8,862.0,193.0,77.47,1.99,58.83,0.0,54.71,11.0,0.0,11113.0,4895.0,722.0,2165.0,0.0,3331.0
3787,0,1,2016,5,862.0,107.0,46.10,2.49,33.98,0.0,24.43,0.0,8.0,6756.0,2753.0,128.0,2283.0,0.0,1592.0
3803,0,1,2006,2,860.0,268.0,60.15,6.76,158.84,0.0,42.26,10.0,3.0,11155.0,3149.0,415.0,5326.0,0.0,2265.0
3805,0,1,2010,7,860.0,249.0,107.79,8.21,56.95,0.0,76.06,16.0,1.0,14034.0,5668.0,1042.0,2194.0,0.0,5130.0
3845,0,1,2008,1,86.0,22.0,4.79,1.61,12.40,0.0,3.20,2.0,0.0,1031.0,150.0,126.0,584.0,0.0,171.0
3937,0,1,2010,6,859.0,325.0,106.58,15.92,148.27,0.0,54.23,10.0,1.0,19038.0,5605.0,1237.0,8007.0,0.0,4189.0
3943,0,1,2017,4,859.0,188.0,84.85,20.71,30.44,0.0,51.99,43.0,0.0,18727.0,7735.0,4585.0,1358.0,0.0,5049.0
3952,0,1,2012,5,858.0,138.0,47.11,1.98,57.88,0.0,31.03,4.0,8.0,6832.0,2636.0,114.0,2467.0,0.0,1615.0
3954,0,1,2014,7,858.0,166.0,49.93,5.07,88.14,0.0,22.86,3.0,2.0,7545.0,3105.0,465.0,2843.0,0.0,1132.0
3963,0,1,2008,2,857.0,127.0,23.15,4.74,72.81,0.78,25.53,58.0,1.0,4724.0,1319.0,330.0,2011.0,66.0,998.0
3987,0,1,2010,9,855.0,155.0,53.67,1.69,55.21,0.0,44.42,10.0,2.0,7343.0,2597.0,76.0,1637.0,0.0,3033.0
3989,0,1,2012,10,855.0,119.0,40.72,1.19,53.21,0.0,23.88,24.0,1.0,4318.0,1892.0,35.0,1340.0,0.0,1051.0
3995,0,1,2016,7,855.0,133.0,44.04,8.01,35.55,0.0,45.40,2.0,0.0,8897.0,3303.0,1887.0,1321.0,0.0,2386.0
4003,0,1,2010,6,854.0,250.0,103.72,10.15,58.81,0.0,77.32,11.0,1.0,12959.0,4708.0,1320.0,2220.0,0.0,4711.0
4004,0,1,2010,9,854.0,254.0,70.32,2.34,138.20,0.0,43.14,1.0,0.0,9779.0,3270.0,120.0,3993.0,0.0,2396.0
4005,0,1,2010,10,854.0,184.0,45.46,12.04,95.85,0.0,30.65,3.0,2.0,11950.0,2650.0,1824.0,4979.0,0.0,2497.0
4008,0,1,2017,8,854.0,118.0,51.22,2.56,32.76,0.0,31.46,3.0,4.0,5919.0,2427.0,109.0,1204.0,0.0,2179.0
4015,0,1,2012,4,853.0,76.0,33.09,2.0,12.78,0.0,28.13,1.0,0.0,3673.0,1896.0,191.0,441.0,0.0,1145.0
4024,0,1,2005,10,852.0,125.0,37.88,1.58,59.15,0.0,26.39,131.0,1.0,4725.0,1806.0,125.0,1653.0,0.0,1141.0
4026,0,1,2007,7,852.0,362.0,101.78,5.76,167.82,0.0,86.64,18.0,0.0,22730.0,6721.0,424.0,7867.0,0.0,7718.0
4034,0,1,2016,4,852.0,104.0,44.42,1.93,34.99,0.0,22.66,0.0,2.0,6603.0,3754.0,103.0,1500.0,0.0,1246.0
4035,0,1,2016,7,852.0,166.0,70.76,11.67,43.02,0.0,40.56,4.0,0.0,15035.0,7244.0,915.0,3354.0,0.0,3522.0
4040,0,1,2008,3,851.0,237.0,61.29,5.33,94.38,0.0,75.99,14.0,3.0,12896.0,3618.0,335.0,3379.0,0.0,5564.0
4050,0,1,2014,2,851.0,164.0,68.81,10.59,56.78,0.0,27.81,35.0,0.0,9036.0,3457.0,1610.0,2633.0,0.0,1336.0
4053,0,1,2016,1,851.0,158.0,47.35,11.66,67.35,0.0,31.64,16.0,2.0,7850.0,2544.0,943.0,2410.0,0.0,1953.0
4079,0,1,2006,5,85.0,16.0,5.49,0.36,4.90,0.0,5.26,0.0,1.0,508.0,146.0,18.0,138.0,0.0,206.0
4092,0,1,2007,4,85.0,12.0,6.61,0.0,0.73,0.0,4.66,0.0,0.0,631.0,443.0,0.0,48.0,0.0,140.0
4189,0,1,2009,3,849.0,169.0,42.15,11.28,54.14,0.0,61.43,18.0,1.0,9484.0,2466.0,1382.0,2391.0,0.0,3245.0
4195,0,1,2017,10,849.0,102.0,39.66,3.41,25.60,0.0,33.34,0.0,1.0,5893.0,1974.0,97.0,952.0,0.0,2870.0
4203,0,1,2007,4,848.0,218.0,56.03,2.73,111.37,0.66,47.21,6.0,1.0,9754.0,2939.0,147.0,3670.0,80.0,2918.0
4209,0,1,2011,8,848.0,156.0,44.61,5.48,61.26,0.0,44.65,18.0,0.0,9604.0,2931.0,235.0,2748.0,0.0,3690.0
4212,0,1,2012,11,848.0,98.0,42.93,0.0,31.39,0.0,23.68,1.0,2.0,4071.0,2312.0,0.0,804.0,0.0,955.0
4213,0,1,2014,5,848.0,134.0,56.11,3.27,47.47,1.0,26.16,1.0,0.0,6359.0,2925.0,156.0,1526.0,190.0,1562.0
