,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
15,1,0,2016,7,998.0,368.0,115.63,13.75,114.45,0.52,123.65,12.0,3.0,22760.0,7514.0,1451.0,4764.0,25.0,9006.0
16,1,0,2017,6,998.0,266.0,61.03,12.2,98.50,0.63,93.64,11.0,2.0,16574.0,4434.0,986.0,4448.0,10.0,6696.0
18,1,0,2004,1,997.0,309.0,60.98,35.04,160.89,2.8,49.27,35.0,1.0,15284.0,3777.0,1908.0,6307.0,116.0,3176.0
22,1,0,2007,9,997.0,338.0,85.66,3.76,195.47,0.8,52.31,11.0,4.0,18785.0,6531.0,405.0,8296.0,66.0,3487.0
24,1,0,2008,9,997.0,210.0,60.94,5.22,95.74,0.0,48.11,9.0,3.0,10188.0,2932.0,335.0,3851.0,0.0,3070.0
35,1,0,2008,2,996.0,371.0,79.86,6.26,201.01,0.0,83.87,45.0,1.0,21291.0,6273.0,276.0,8967.0,0.0,5775.0
42,1,0,2006,3,995.0,366.0,62.26,11.08,234.17,0.48,58.01,14.0,0.0,20437.0,3972.0,1048.0,11306.0,30.0,4081.0
45,1,0,2013,5,995.0,264.0,62.69,5.08,129.75,0.0,66.48,6.0,1.0,14318.0,2710.0,339.0,5135.0,0.0,6134.0
54,1,0,2015,6,994.0,245.0,65.01,10.31,80.34,0.13,89.22,17.0,0.0,16289.0,4915.0,821.0,3894.0,2.0,6657.0
60,1,0,2010,8,993.0,255.0,66.63,8.18,120.16,0.0,60.03,13.0,4.0,15226.0,4226.0,544.0,6242.0,0.0,4214.0
67,1,0,2005,7,992.0,327.0,112.49,28.26,84.64,0.0,101.62,2.0,0.0,20253.0,6916.0,1841.0,3827.0,0.0,7669.0
69,1,0,2006,7,992.0,274.0,94.64,14.94,79.70,0.0,84.72,8.0,1.0,18296.0,7152.0,1060.0,3450.0,0.0,6634.0
70,1,0,2006,8,992.0,217.0,79.58,14.88,50.20,8.05,64.29,16.0,0.0,12484.0,4913.0,934.0,1952.0,395.0,4290.0
79,1,0,2010,7,991.0,242.0,89.39,9.59,88.01,0.0,55.02,15.0,2.0,14060.0,5669.0,487.0,3625.0,0.0,4279.0
89,1,0,2006,5,990.0,193.0,64.51,10.46,60.33,0.0,57.70,1.0,5.0,10152.0,3167.0,638.0,2577.0,0.0,3770.0
143,1,0,2007,1,989.0,246.0,65.22,2.64,122.51,1.0,54.63,16.0,2.0,13662.0,5271.0,238.0,4406.0,20.0,3727.0
148,1,0,2015,8,989.0,201.0,74.60,7.81,58.62,2.17,57.80,12.0,3.0,10821.0,4204.0,678.0,2638.0,47.0,3254.0
154,1,0,2007,3,988.0,376.0,85.16,1.24,238.19,0.0,51.40,43.0,3.0,18606.0,5792.0,114.0,8416.0,0.0,4284.0
157,1,0,2010,3,988.0,358.0,88.80,5.77,223.19,0.0,40.24,38.0,15.0,20531.0,7407.0,680.0,9173.0,0.0,3271.0
160,1,0,2015,11,988.0,140.0,63.11,2.52,26.56,2.45,45.36,2.0,0.0,7246.0,3320.0,237.0,819.0,96.0,2774.0
167,1,0,2006,2,987.0,191.0,39.94,9.7,90.89,0.0,50.47,62.0,3.0,10607.0,2758.0,471.0,3910.0,0.0,3468.0
169,1,0,2010,1,987.0,168.0,64.13,0.9,72.06,0.0,30.90,18.0,2.0,10351.0,4414.0,42.0,3801.0,0.0,2094.0
174,1,0,2004,6,986.0,241.0,69.46,27.37,70.52,0.0,73.65,2.0,0.0,17541.0,5285.0,2478.0,3672.0,0.0,6106.0
191,1,0,2004,11,984.0,131.0,34.18,9.62,45.54,0.37,41.30,6.0,0.0,6866.0,1899.0,644.0,2004.0,7.0,2312.0
195,1,0,2012,5,984.0,272.0,72.54,20.67,118.80,0.0,59.98,3.0,6.0,14483.0,3302.0,1466.0,5690.0,0.0,4025.0
199,1,0,2017,4,984.0,178.0,53.54,6.11,64.17,0.25,53.93,8.0,2.0,10018.0,3084.0,420.0,2648.0,4.0,3862.0
219,1,0,2008,6,982.0,499.0,109.55,7.5,256.52,0.92,124.51,17.0,11.0,42184.0,11640.0,539.0,16837.0,64.0,13104.0
223,1,0,2010,9,982.0,193.0,50.09,6.0,114.37,0.0,22.54,12.0,9.0,14067.0,4079.0,451.0,8235.0,0.0,1302.0
227,1,0,2017,2,982.0,370.0,48.99,5.77,275.26,0.0,39.98,13.0,10.0,23254.0,3618.0,389.0,16614.0,0.0,2633.0
238,1,0,2009,5,980.0,327.0,60.46,9.58,215.55,0.0,41.40,4.0,4.0,18736.0,4325.0,878.0,10700.0,0.0,2833.0
240,1,0,2009,8,980.0,246.0,91.35,14.52,82.61,0.0,57.51,7.0,2.0,13701.0,5375.0,789.0,3824.0,0.0,3713.0
242,1,0,2010,3,980.0,241.0,72.95,12.61,115.42,0.0,40.02,22.0,0.0,15345.0,4465.0,867.0,7091.0,0.0,2922.0
246,1,0,2017,7,980.0,260.0,83.15,22.41,63.84,0.95,89.65,15.0,0.0,14899.0,4779.0,1776.0,2886.0,35.0,5423.0
253,1,0,2005,2,98.0,1.0,0.64,0.0,0.00,0.0,0.36,1.0,0.0,28.0,18.0,0.0,0.0,0.0,10.0
329,1,0,2013,7,978.0,295.0,70.54,12.29,112.59,0.0,99.59,27.0,2.0,14801.0,3374.0,720.0,5177.0,0.0,5530.0
337,1,0,2006,1,977.0,180.0,70.95,11.39,48.00,0.31,49.35,2.0,1.0,8888.0,4179.0,537.0,1324.0,13.0,2835.0
338,1,0,2010,1,977.0,289.0,45.74,6.18,186.65,0.51,49.91,39.0,4.0,20282.0,3341.0,394.0,12339.0,65.0,4143.0
339,1,0,2010,5,977.0,285.0,80.73,9.49,137.88,0.0,56.90,27.0,3.0,18622.0,5433.0,960.0,7624.0,0.0,4605.0
340,1,0,2010,10,977.0,246.0,53.99,4.68,149.96,0.26,37.11,4.0,2.0,16581.0,4131.0,668.0,9181.0,9.0,2592.0
344,1,0,2005,3,976.0,250.0,90.50,15.57,65.95,0.0,77.99,3.0,2.0,14955.0,5695.0,987.0,3121.0,0.0,5152.0
345,1,0,2008,1,976.0,493.0,72.59,7.46,345.37,0.34,67.24,48.0,3.0,37979.0,4766.0,466.0,26420.0,13.0,6314.0
346,1,0,2009,12,976.0,290.0,79.44,18.88,130.29,0.0,61.38,18.0,0.0,21848.0,5474.0,1384.0,9450.0,0.0,5540.0
358,1,0,2006,12,975.0,334.0,76.67,4.81,193.09,0.0,59.43,10.0,4.0,18896.0,6928.0,243.0,7659.0,0.0,4066.0
360,1,0,2009,7,975.0,309.0,117.12,18.71,116.32,0.0,56.85,15.0,5.0,19836.0,9192.0,1602.0,5122.0,0.0,3920.0
362,1,0,2012,7,975.0,324.0,77.55,20.76,159.85,0.0,65.83,5.0,0.0,20374.0,3815.0,1508.0,10438.0,0.0,4613.0
363,1,0,2014,7,975.0,324.0,70.01,6.19,149.14,0.0,98.67,5.0,1.0,17624.0,3587.0,461.0,6598.0,0.0,6978.0
364,1,0,2014,8,975.0,307.0,88.76,16.74,116.16,0.2,85.13,6.0,1.0,17341.0,4909.0,2336.0,4915.0,7.0,5174.0
365,1,0,2015,10,975.0,135.0,64.78,2.28,25.99,0.09,41.86,8.0,0.0,7514.0,3498.0,193.0,769.0,5.0,3049.0
369,1,0,2007,2,974.0,355.0,91.26,33.3,151.01,0.0,79.42,70.0,0.0,20007.0,4944.0,3041.0,6604.0,0.0,5418.0
380,1,0,2012,8,973.0,309.0,85.38,11.63,150.61,0.73,60.65,14.0,3.0,19865.0,4413.0,1176.0,9823.0,11.0,4442.0
382,1,0,2015,7,973.0,174.0,57.99,4.45,45.99,1.31,64.26,2.0,0.0,10798.0,3574.0,250.0,2006.0,90.0,4878.0
389,1,0,2009,10,972.0,327.0,83.66,5.83,189.31,0.0,48.20,4.0,5.0,21377.0,5336.0,387.0,11736.0,0.0,3918.0
396,1,0,2014,10,971.0,284.0,66.23,7.16,131.30,1.0,78.31,3.0,4.0,15932.0,3499.0,364.0,6514.0,101.0,5454.0
401,1,0,2004,5,970.0,161.0,54.20,6.11,64.10,0.86,35.73,4.0,1.0,9770.0,3213.0,519.0,3122.0,120.0,2796.0
406,1,0,2014,9,970.0,171.0,51.00,1.0,65.52,0.0,53.48,7.0,1.0,9054.0,2835.0,119.0,2625.0,0.0,3475.0
469,1,0,2007,8,969.0,431.0,120.72,2.16,224.63,0.69,82.81,11.0,9.0,30646.0,12023.0,178.0,11288.0,16.0,7141.0
474,1,0,2009,11,969.0,147.0,68.31,0.49,53.30,0.0,24.90,5.0,1.0,6858.0,3591.0,24.0,1909.0,0.0,1334.0
477,1,0,2011,8,969.0,276.0,77.08,15.21,137.41,0.0,46.29,27.0,1.0,17731.0,4740.0,1339.0,7849.0,0.0,3803.0
484,1,0,2005,1,968.0,269.0,98.96,29.33,57.76,1.06,81.90,13.0,0.0,14797.0,5503.0,1593.0,2033.0,46.0,5622.0
488,1,0,2009,1,968.0,236.0,63.66,21.54,96.77,0.0,54.03,35.0,1.0,15100.0,4238.0,1860.0,5211.0,0.0,3791.0
499,1,0,2008,12,967.0,331.0,75.44,23.34,159.01,0.0,73.21,19.0,3.0,21788.0,5584.0,1687.0,9009.0,0.0,5508.0
509,1,0,2005,5,966.0,160.0,57.84,13.18,48.34,0.0,40.64,0.0,2.0,8833.0,3202.0,927.0,1768.0,0.0,2936.0
512,1,0,2009,3,966.0,201.0,65.05,2.58,98.84,0.0,34.52,25.0,10.0,10974.0,4692.0,130.0,4174.0,0.0,1978.0
513,1,0,2009,3,966.0,302.0,89.48,5.53,161.55,0.0,45.44,19.0,0.0,16473.0,5647.0,340.0,7290.0,0.0,3196.0
515,1,0,2013,8,966.0,167.0,50.47,5.36,48.63,0.0,62.54,15.0,1.0,6814.0,2316.0,301.0,1429.0,0.0,2768.0
516,1,0,2016,6,966.0,321.0,95.25,13.03,97.63,0.67,114.42,11.0,11.0,21483.0,6346.0,1755.0,4538.0,25.0,8819.0
517,1,0,2016,8,966.0,256.0,96.79,14.4,57.62,0.0,87.19,18.0,3.0,16231.0,6431.0,1260.0,2240.0,0.0,6300.0
520,1,0,2005,12,965.0,268.0,114.29,16.62,65.25,2.36,69.47,9.0,0.0,14006.0,6076.0,1023.0,2231.0,115.0,4561.0
525,1,0,2010,7,965.0,231.0,66.24,11.63,83.97,0.0,69.16,15.0,4.0,13562.0,4753.0,753.0,3671.0,0.0,4385.0
531,1,0,2015,9,965.0,169.0,62.11,9.17,58.11,0.0,39.62,1.0,1.0,8007.0,2873.0,738.0,2059.0,0.0,2337.0
536,1,0,2005,8,964.0,289.0,79.96,26.32,118.05,0.0,64.67,17.0,3.0,14976.0,4416.0,1657.0,5058.0,0.0,3845.0
538,1,0,2008,2,964.0,310.0,89.00,13.72,120.56,0.0,86.71,65.0,0.0,17534.0,5162.0,900.0,5837.0,0.0,5635.0
541,1,0,2013,9,964.0,205.0,68.41,10.89,80.11,0.0,45.60,7.0,0.0,9711.0,2846.0,796.0,3355.0,0.0,2714.0
547,1,0,2006,4,963.0,194.0,69.86,8.54,54.97,0.0,60.62,0.0,1.0,10162.0,3549.0,331.0,2601.0,0.0,3681.0
551,1,0,2013,4,963.0,198.0,60.50,9.71,67.41,0.0,60.38,23.0,1.0,13684.0,4048.0,970.0,3307.0,0.0,5359.0
556,1,0,2008,10,962.0,195.0,53.57,1.35,114.57,0.0,25.50,8.0,8.0,9455.0,3366.0,92.0,4621.0,0.0,1376.0
557,1,0,2009,1,962.0,243.0,78.82,3.19,121.86,0.0,39.13,20.0,11.0,15018.0,7762.0,76.0,4178.0,0.0,3002.0
560,1,0,2016,10,962.0,144.0,48.85,0.0,53.81,2.33,39.01,7.0,1.0,5730.0,1825.0,0.0,1943.0,60.0,1902.0
562,1,0,2007,5,961.0,283.0,83.81,16.86,101.34,0.16,80.83,15.0,1.0,16732.0,5777.0,1137.0,3997.0,7.0,5814.0
569,1,0,2015,5,961.0,189.0,51.47,9.8,59.40,2.08,66.26,6.0,3.0,12300.0,3426.0,846.0,3175.0,102.0,4751.0
586,1,0,2006,6,960.0,251.0,83.84,17.08,91.96,0.0,58.12,6.0,3.0,12585.0,4453.0,914.0,3441.0,0.0,3777.0
587,1,0,2007,7,960.0,369.0,93.57,30.37,110.82,0.84,133.40,9.0,3.0,26429.0,6739.0,3486.0,4942.0,21.0,11241.0
588,1,0,2007,8,960.0,277.0,87.54,10.6,60.29,0.0,118.56,13.0,0.0,17630.0,5630.0,740.0,2522.0,0.0,8738.0
591,1,0,2011,7,960.0,326.0,77.50,11.35,190.02,0.0,47.12,19.0,1.0,22468.0,5298.0,1385.0,12329.0,0.0,3456.0
655,1,0,2008,5,959.0,304.0,95.24,5.62,108.15,0.0,95.00,13.0,1.0,17979.0,6945.0,459.0,4166.0,0.0,6409.0
661,1,0,2017,11,959.0,86.0,33.85,2.16,26.04,0.13,23.83,2.0,0.0,3405.0,1449.0,61.0,644.0,2.0,1249.0
666,1,0,2010,8,958.0,253.0,77.57,13.25,112.68,0.97,48.51,10.0,1.0,15609.0,4374.0,801.0,7310.0,37.0,3087.0
676,1,0,2004,11,957.0,141.0,41.00,13.62,37.67,2.0,46.72,0.0,0.0,6910.0,2339.0,823.0,1189.0,116.0,2443.0
678,1,0,2006,10,957.0,171.0,58.89,13.32,40.34,0.0,58.46,3.0,0.0,10228.0,4084.0,781.0,1422.0,0.0,3941.0
682,1,0,2013,5,957.0,243.0,70.69,13.02,96.71,0.0,62.58,7.0,6.0,13310.0,3749.0,1048.0,4165.0,0.0,4348.0
683,1,0,2015,8,957.0,210.0,73.93,4.52,66.50,0.09,64.96,2.0,6.0,11224.0,4599.0,244.0,2182.0,2.0,4197.0
685,1,0,2016,11,957.0,103.0,43.47,0.23,24.09,0.59,34.63,2.0,0.0,5258.0,2163.0,7.0,931.0,16.0,2141.0
688,1,0,2008,3,956.0,327.0,100.15,16.37,140.82,0.0,69.66,41.0,1.0,17118.0,5601.0,1326.0,5750.0,0.0,4441.0
689,1,0,2010,3,956.0,337.0,84.64,12.81,178.72,0.0,60.82,21.0,8.0,18748.0,5776.0,903.0,7324.0,0.0,4745.0
691,1,0,2011,5,956.0,319.0,88.38,25.12,148.46,0.0,57.04,28.0,4.0,19653.0,4961.0,2370.0,7807.0,0.0,4515.0
697,1,0,2017,1,956.0,175.0,54.46,2.03,56.08,0.82,61.62,4.0,2.0,8199.0,2609.0,80.0,2114.0,36.0,3360.0
698,1,0,2017,7,956.0,306.0,77.39,13.0,109.43,3.22,102.96,16.0,4.0,18063.0,4083.0,1143.0,4530.0,185.0,8122.0
699,1,0,2018,1,956.0,153.0,64.22,5.08,40.49,1.27,41.94,28.0,0.0,8794.0,3851.0,396.0,1607.0,36.0,2904.0
702,1,0,2010,6,955.0,300.0,81.22,12.25,137.91,0.0,68.61,31.0,6.0,21334.0,5864.0,938.0,8719.0,0.0,5813.0
715,1,0,2014,12,954.0,239.0,67.33,4.82,100.20,0.0,66.65,2.0,1.0,10326.0,3631.0,155.0,3186.0,0.0,3354.0
729,1,0,2006,10,952.0,174.0,53.75,1.0,92.03,0.0,27.21,5.0,1.0,8336.0,2979.0,47.0,3448.0,0.0,1862.0
730,1,0,2007,7,952.0,419.0,81.82,9.68,229.05,0.15,98.29,10.0,10.0,29628.0,8554.0,1027.0,11237.0,8.0,8802.0
731,1,0,2009,6,952.0,360.0,105.99,15.83,169.01,0.67,68.50,17.0,4.0,24295.0,7566.0,1905.0,8404.0,17.0,6403.0
738,1,0,2017,5,952.0,203.0,68.23,3.06,79.80,0.0,51.91,3.0,2.0,9904.0,2929.0,117.0,3245.0,0.0,3613.0
739,1,0,2017,8,952.0,245.0,69.83,1.59,82.64,1.83,89.11,10.0,1.0,13121.0,3787.0,119.0,2991.0,103.0,6121.0
742,1,0,2005,6,951.0,263.0,98.17,18.1,73.50,0.0,73.23,1.0,3.0,15376.0,5948.0,1022.0,3091.0,0.0,5315.0
747,1,0,2010,4,951.0,256.0,72.92,5.24,140.88,0.0,36.97,12.0,0.0,16967.0,3887.0,496.0,9420.0,0.0,3164.0
751,1,0,2015,7,951.0,232.0,92.17,8.91,62.24,0.85,67.83,3.0,6.0,12409.0,4290.0,710.0,2621.0,33.0,4755.0
752,1,0,2016,3,951.0,220.0,54.98,8.48,110.70,1.56,44.28,2.0,2.0,10059.0,2860.0,640.0,3864.0,63.0,2632.0
756,1,0,2010,5,950.0,181.0,60.87,3.22,93.70,0.87,22.34,29.0,6.0,10437.0,3725.0,224.0,4861.0,34.0,1593.0
757,1,0,2012,4,950.0,248.0,51.31,8.67,137.72,0.0,50.30,17.0,6.0,15595.0,2307.0,986.0,7775.0,0.0,4527.0
759,1,0,2017,10,950.0,137.0,50.67,0.79,48.50,1.17,35.87,3.0,0.0,6557.0,2701.0,50.0,1404.0,48.0,2354.0
838,1,0,2009,4,949.0,276.0,81.11,10.17,126.30,0.0,58.42,15.0,1.0,17232.0,5704.0,644.0,6744.0,0.0,4140.0
840,1,0,2011,3,949.0,330.0,67.51,8.52,211.09,0.0,42.88,24.0,6.0,21449.0,3990.0,602.0,13837.0,0.0,3020.0
848,1,0,2017,8,949.0,255.0,79.62,9.82,93.50,1.45,70.61,11.0,1.0,15129.0,5158.0,693.0,4332.0,57.0,4889.0
855,1,0,2010,9,948.0,245.0,63.77,12.22,135.87,1.0,32.14,10.0,3.0,15988.0,4454.0,723.0,8440.0,105.0,2266.0
873,1,0,2013,8,947.0,320.0,65.10,8.3,175.62,0.0,70.98,7.0,3.0,19815.0,3844.0,855.0,10354.0,0.0,4762.0
882,1,0,2007,5,946.0,417.0,86.54,2.74,260.49,1.79,65.44,4.0,5.0,22304.0,5849.0,266.0,11209.0,58.0,4922.0
885,1,0,2011,10,946.0,312.0,81.11,8.1,187.82,0.19,34.77,8.0,2.0,16247.0,5061.0,386.0,9265.0,7.0,1528.0
889,1,0,2005,4,945.0,136.0,54.97,8.58,35.11,1.0,36.34,3.0,0.0,7179.0,3509.0,419.0,1090.0,25.0,2136.0
892,1,0,2007,2,945.0,242.0,69.12,21.16,73.18,0.88,77.65,67.0,1.0,13773.0,4064.0,1514.0,2787.0,32.0,5376.0
898,1,0,2013,7,945.0,345.0,67.55,9.74,187.87,0.0,79.85,60.0,10.0,24258.0,4003.0,498.0,13333.0,0.0,6424.0
907,1,0,2009,3,944.0,220.0,94.12,6.86,73.47,0.0,45.55,27.0,1.0,12631.0,5784.0,364.0,3534.0,0.0,2949.0
908,1,0,2009,12,944.0,205.0,62.94,30.22,52.79,0.0,59.04,24.0,2.0,12236.0,3582.0,1669.0,2244.0,0.0,4741.0
911,1,0,2014,9,944.0,241.0,49.02,1.97,132.27,0.0,57.74,9.0,1.0,11930.0,2411.0,98.0,5148.0,0.0,4273.0
921,1,0,2015,1,943.0,217.0,80.76,8.86,54.43,0.06,72.89,10.0,3.0,9888.0,3787.0,413.0,1867.0,1.0,3820.0
927,1,0,2010,1,942.0,236.0,72.95,13.76,100.25,0.71,48.33,29.0,1.0,13852.0,5325.0,561.0,4350.0,34.0,3582.0
933,1,0,2013,10,941.0,236.0,63.77,7.46,107.25,0.0,57.52,2.0,1.0,10799.0,3039.0,405.0,4572.0,0.0,2783.0
937,1,0,2007,4,940.0,319.0,93.73,3.4,157.45,0.67,63.76,19.0,4.0,21524.0,7699.0,430.0,7698.0,14.0,5683.0
940,1,0,2013,6,940.0,277.0,51.65,15.29,126.34,0.0,83.73,23.0,7.0,16334.0,2619.0,1233.0,7130.0,0.0,5352.0
1041,1,0,2009,1,939.0,222.0,78.75,17.99,67.85,0.0,57.41,69.0,4.0,12796.0,4650.0,971.0,2811.0,0.0,4364.0
1043,1,0,2004,3,938.0,177.0,63.04,13.86,50.59,1.94,47.56,3.0,1.0,9776.0,3424.0,1870.0,1637.0,69.0,2776.0
1046,1,0,2009,9,938.0,121.0,42.93,7.66,46.56,0.0,23.85,3.0,3.0,6311.0,1968.0,444.0,2548.0,0.0,1351.0
1057,1,0,2008,12,937.0,307.0,84.69,6.41,157.98,0.0,57.91,17.0,7.0,20899.0,8293.0,380.0,7655.0,0.0,4571.0
1060,1,0,2012,7,937.0,269.0,75.51,17.23,118.07,0.0,58.20,4.0,1.0,15993.0,3986.0,1053.0,5958.0,0.0,4996.0
1066,1,0,2017,6,937.0,278.0,83.00,8.15,93.26,0.2,93.40,13.0,1.0,15973.0,4959.0,722.0,3863.0,12.0,6417.0
1072,1,0,2006,9,936.0,233.0,53.04,9.52,120.09,0.4,49.95,4.0,5.0,12808.0,3673.0,707.0,5615.0,6.0,2807.0
1078,1,0,2014,4,936.0,138.0,43.45,4.06,47.18,0.0,43.31,2.0,0.0,8874.0,2425.0,252.0,2268.0,0.0,3929.0
1085,1,0,2005,2,935.0,175.0,45.64,12.32,78.46,0.0,38.59,22.0,0.0,8451.0,2329.0,718.0,3022.0,0.0,2382.0
1094,1,0,2015,8,935.0,247.0,82.19,5.74,94.31,0.66,64.09,1.0,1.0,12010.0,4182.0,280.0,3612.0,41.0,3895.0
1096,1,0,2004,1,934.0,263.0,87.41,37.24,65.16,0.0,73.19,6.0,0.0,15195.0,5636.0,2115.0,2381.0,0.0,5063.0
1098,1,0,2008,9,934.0,257.0,51.08,3.36,169.37,0.0,33.19,14.0,3.0,14160.0,3542.0,208.0,8113.0,0.0,2297.0
1100,1,0,2013,10,934.0,107.0,41.26,3.8,35.86,0.0,26.08,2.0,0.0,3846.0,1520.0,165.0,927.0,0.0,1234.0
1110,1,0,2012,8,933.0,258.0,92.50,15.41,93.23,0.0,56.85,11.0,1.0,13956.0,5652.0,984.0,3223.0,0.0,4097.0
1115,1,0,2015,12,933.0,191.0,70.35,6.56,55.79,1.6,56.71,13.0,0.0,10901.0,3806.0,946.0,2776.0,72.0,3301.0
1126,1,0,2010,4,932.0,157.0,66.63,0.69,68.68,0.0,21.00,8.0,13.0,9136.0,5752.0,43.0,1947.0,0.0,1394.0
1129,1,0,2015,3,932.0,239.0,83.69,6.23,88.98,1.27,58.83,46.0,7.0,10861.0,4018.0,427.0,3445.0,26.0,2945.0
1131,1,0,2015,11,932.0,185.0,77.59,5.23,53.59,4.48,44.10,6.0,1.0,8402.0,3621.0,195.0,1500.0,228.0,2858.0
1135,1,0,2004,2,931.0,215.0,41.81,19.68,121.35,0.63,31.54,26.0,1.0,10619.0,2193.0,1015.0,5801.0,27.0,1583.0
1147,1,0,2007,3,930.0,264.0,114.19,16.15,53.73,0.0,79.94,13.0,0.0,15881.0,6711.0,1017.0,2116.0,0.0,6037.0
1150,1,0,2008,8,930.0,340.0,123.83,16.58,117.90,0.0,81.69,35.0,5.0,18910.0,7802.0,1216.0,4127.0,0.0,5765.0
1152,1,0,2008,12,930.0,249.0,63.60,27.88,96.69,0.0,60.83,58.0,10.0,17141.0,4150.0,2830.0,5265.0,0.0,4896.0
1154,1,0,2009,11,930.0,126.0,59.03,0.82,50.41,0.0,15.74,4.0,1.0,6876.0,3655.0,42.0,2202.0,0.0,977.0
1157,1,0,2011,6,930.0,333.0,88.72,12.61,189.34,0.0,42.33,17.0,1.0,19943.0,5160.0,1444.0,9559.0,0.0,3780.0
1164,1,0,2015,1,930.0,183.0,71.31,11.53,51.72,0.0,48.44,20.0,3.0,8962.0,3633.0,693.0,1953.0,0.0,2683.0
1173,1,0,2017,10,930.0,168.0,67.00,1.38,59.16,0.19,40.27,1.0,2.0,7873.0,3648.0,121.0,1849.0,6.0,2249.0
1346,1,0,2006,8,93.0,17.0,5.29,3.31,3.82,0.32,4.26,2.0,0.0,759.0,179.0,162.0,167.0,10.0,241.0
1781,1,0,2006,9,929.0,208.0,68.69,17.99,52.67,0.19,68.47,12.0,0.0,13649.0,4217.0,1495.0,2616.0,3.0,5318.0
1782,1,0,2006,11,929.0,316.0,69.09,2.57,202.53,0.0,41.81,6.0,2.0,17881.0,5440.0,126.0,9787.0,0.0,2528.0
1784,1,0,2007,6,929.0,388.0,108.48,34.42,103.97,0.0,141.13,21.0,4.0,26470.0,7208.0,2869.0,4639.0,0.0,11754.0
1785,1,0,2008,1,929.0,284.0,115.42,10.8,72.14,0.55,85.09,6.0,1.0,15813.0,6514.0,617.0,2559.0,17.0,6106.0
1786,1,0,2008,3,929.0,342.0,135.54,12.16,100.32,0.0,93.97,29.0,3.0,22709.0,9576.0,839.0,4702.0,0.0,7592.0
1793,1,0,2012,5,929.0,289.0,62.91,17.44,147.31,0.0,61.34,7.0,0.0,16213.0,3331.0,1486.0,6169.0,0.0,5227.0
1794,1,0,2013,4,929.0,219.0,67.31,9.29,75.92,0.0,66.48,24.0,4.0,12511.0,4232.0,732.0,3334.0,0.0,4213.0
1799,1,0,2011,9,928.0,176.0,66.57,8.09,67.02,0.0,34.32,9.0,1.0,8733.0,3508.0,497.0,2682.0,0.0,2046.0
1804,1,0,2008,7,927.0,348.0,118.72,10.68,119.29,0.0,99.30,11.0,1.0,22340.0,8955.0,1585.0,4261.0,0.0,7539.0
1807,1,0,2011,4,927.0,336.0,82.00,21.86,176.54,0.0,55.61,21.0,2.0,17058.0,4088.0,1610.0,6610.0,0.0,4750.0
1811,1,0,2014,7,927.0,290.0,76.61,11.95,118.56,0.21,82.67,18.0,14.0,14638.0,4100.0,705.0,4701.0,22.0,5110.0
1824,1,0,2010,6,926.0,205.0,70.24,5.04,97.56,0.0,32.17,29.0,4.0,11964.0,5160.0,516.0,3976.0,0.0,2312.0
1825,1,0,2012,6,926.0,309.0,60.16,14.65,180.66,0.86,52.66,9.0,3.0,22750.0,3008.0,1085.0,14306.0,40.0,4311.0
1829,1,0,2014,12,926.0,251.0,99.65,0.57,63.33,0.96,86.50,2.0,0.0,12685.0,5208.0,17.0,2267.0,83.0,5110.0
1847,1,0,2008,4,924.0,281.0,103.82,3.78,95.42,0.0,77.98,47.0,0.0,16402.0,6353.0,333.0,4183.0,0.0,5533.0
1850,1,0,2008,11,924.0,166.0,46.82,3.04,86.67,0.0,29.47,11.0,2.0,9992.0,3482.0,171.0,4523.0,0.0,1816.0
1855,1,0,2014,11,924.0,199.0,60.51,10.03,64.93,0.0,63.53,1.0,0.0,10338.0,3291.0,381.0,3212.0,0.0,3454.0
1862,1,0,2006,11,923.0,160.0,61.25,6.74,40.08,0.0,51.93,9.0,0.0,9064.0,3550.0,475.0,1623.0,0.0,3416.0
1867,1,0,2014,6,923.0,395.0,82.67,13.65,201.59,0.0,97.08,6.0,1.0,23521.0,4934.0,1104.0,9874.0,0.0,7609.0
1870,1,0,2006,12,922.0,278.0,109.69,17.8,57.13,0.0,93.38,16.0,2.0,16710.0,6408.0,1498.0,2013.0,0.0,6791.0
1872,1,0,2009,7,922.0,214.0,64.36,8.77,106.14,0.0,34.72,11.0,13.0,13526.0,5303.0,698.0,4912.0,0.0,2613.0
1876,1,0,2015,5,922.0,182.0,47.38,11.9,69.15,0.0,53.58,8.0,3.0,9821.0,2534.0,1001.0,2805.0,0.0,3481.0
1882,1,0,2017,6,922.0,279.0,77.19,14.29,103.79,0.27,83.45,18.0,1.0,16657.0,5238.0,1058.0,3998.0,34.0,6329.0
1891,1,0,2013,11,921.0,106.0,48.60,7.0,14.91,1.75,33.75,7.0,2.0,4803.0,2481.0,221.0,502.0,102.0,1497.0
1895,1,0,2017,12,921.0,165.0,54.63,7.75,46.30,0.0,56.32,40.0,5.0,9888.0,3192.0,498.0,2526.0,0.0,3672.0
1901,1,0,2007,4,920.0,243.0,86.27,9.96,53.20,0.06,93.52,13.0,7.0,15497.0,5182.0,877.0,2208.0,5.0,7225.0
